French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,To
a,To
ne,born
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,from
moi,me
qui,who
nous,we
y,there
mais,corn
me,me
dans,in
du,from
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,to
avec,with
va,goes
oui,Yes
toi,you
fait,do
ils,they
as,ace
être,to be
faire,do
se,himself
comme,like
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,am going to
dire,to say
alors,So
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,also
voir,to see
chose,thing
allez,go
tous,all
deux,of them
ces,those
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do
avoir,to have
peut,may
autre,other
m,m
encore,Again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
toujours,always
vie,life
sans,without
juste,correct
oh,Oh
avait,was having
accord,OK
vu,seen
monde,world
quelque,some
fois,times
aller,to go
trop,too much
viens,come
crois,believe
dieu,God
dois,have
homme,man
père,father
sûr,sure
aux,to
leur,their
avant,before
étais,was
besoin,need
femme,women
aime,love
personne,no one
avais,had
chez,at the house of
vrai,true
ans,years
mal,wrong
ses,his
parler,to speak
vos,your
après,after
mort,dead
veut,wants
eu,had
sera,will be
bonne,good
parce,by
mieux,better
petit,small
voilà,so
tes,your
ca,that
dis,say
beaucoup,many
depuis,since
doit,must
vois,see
mère,mother
vas,going
monsieur,Sir
quel,what
déjà,already
fille,girl
gens,people
donc,so
jour,day
soir,evening
autres,others
ii,ii
toute,all
bonjour,Hello
ll,It
maison,House
nom,name
argent,silver
nos,our
ouais,Yeah
pense,thought
merde,shit
nuit,night
papa,dad
cela,that
salut,Salvation
cet,this
avons,have
reste,rest
désolé,sorry
maman,mom
peur,fear
arrive,come
seul,alone
vite,fast
prendre,to take
regarde,looked
air,air
soit,that is
trois,three
quelle,what
passé,pass
savoir,to know
plaît,please
choses,things
moins,less
fils,son
entre,Between
bas,low
appelle,call
passe,past
ah,ha
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,done
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,raison
aurais,would
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,from
moment,moment
heure,time
puis,then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,to kill
eh,eh
ami,friend
connais,know
petite,small
aider,to help
chance,luck
savez,know
partir,to leave
sait,know
combien,How
voiture,car
tant,so much
pris,taken
part,go
problème,problem
prends,take
porte,door
coup,cut
serait,would
venir,to come
hui,hui
famille,family
travail,work
pu,could
seule,alone
sens,meaning
ni,or
allons,lets go
revoir,meet again
idée,idea
putain,whore
passer,to pass
contre,vs
comprends,understand
entendu,understood
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,Warning
demande,request
chercher,look for
sous,under
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to take out
question,question
histoire,story
amis,friends
venez,come
frère,brother
rester,to stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,take
mois,month
eux,them
mec,guy
yeux,eyes
laisse,leave alone
super,Great
belle,beautiful
longtemps,long time
police,police
eau,water
heures,time
